category,tag,problem_id,title,difficulty,diff_band,solver,url
Data-Structure,Binary-Indexed-Tree,abc262_c,C. Min Max Pair,360,0-399,9987,https://atcoder.jp/contests/abc262/tasks/abc262_c
Data-Structure,Binary-Indexed-Tree,abc185_f,F. Range Xor Query,1053,800-1199,6841,https://atcoder.jp/contests/abc185/tasks/abc185_f
Data-Structure,Binary-Indexed-Tree,abc253_e,E. Distance Sequence,1073,800-1199,6353,https://atcoder.jp/contests/abc253/tasks/abc253_e
Data-Structure,Binary-Indexed-Tree,abc241_d,D. Sequence Query,1177,800-1199,7293,https://atcoder.jp/contests/abc241/tasks/abc241_d
Data-Structure,Binary-Indexed-Tree,abc190_f,F. Shift and Inversions,1321,1200-1599,4853,https://atcoder.jp/contests/abc190/tasks/abc190_f
Data-Structure,Binary-Indexed-Tree,abc157_e,E. Simple String Queries,1443,1200-1599,5399,https://atcoder.jp/contests/abc157/tasks/abc157_e
Data-Structure,Binary-Indexed-Tree,abc174_f,F. Range Set Query,1495,1200-1599,5265,https://atcoder.jp/contests/abc174/tasks/abc174_f
Data-Structure,Binary-Indexed-Tree,abc231_f,F. Jealous Two,1580,1200-1599,3067,https://atcoder.jp/contests/abc231/tasks/abc231_f
Data-Structure,Binary-Indexed-Tree,arc043_b,B. 難易度,1606,1600-1999,1501,https://atcoder.jp/contests/arc043/tasks/arc043_b
Data-Structure,Binary-Indexed-Tree,abc309_f,F. Box in Box,1619,1600-1999,3035,https://atcoder.jp/contests/abc309/tasks/abc309_f
Data-Structure,Binary-Indexed-Tree,abc223_f,F. Parenthesis Checking,1641,1600-1999,3151,https://atcoder.jp/contests/abc223/tasks/abc223_f
Data-Structure,Binary-Indexed-Tree,arc033_3,C. データ構造,1641,1600-1999,2270,https://atcoder.jp/contests/arc033/tasks/arc033_3
Data-Structure,Binary-Indexed-Tree,abc253_f,F. Operations on a Matrix,1756,1600-1999,2527,https://atcoder.jp/contests/abc253/tasks/abc253_f
Data-Structure,Binary-Indexed-Tree,abc038_d,D. プレゼント,1804,1600-1999,2607,https://atcoder.jp/contests/abc038/tasks/abc038_d
Data-Structure,Binary-Indexed-Tree,abc186_f,F. Rook on Grid,1833,1600-1999,2450,https://atcoder.jp/contests/abc186/tasks/abc186_f
Data-Structure,Binary-Indexed-Tree,arc031_3,C. 積み木,1880,1600-1999,925,https://atcoder.jp/contests/arc031/tasks/arc031_3
Data-Structure,Binary-Indexed-Tree,jsc2021_f,F. Max Matrix,1954,1600-1999,1154,https://atcoder.jp/contests/jsc2021/tasks/jsc2021_f
Data-Structure,Binary-Indexed-Tree,arc075_c,E. Meaningful Mean,1979,1600-1999,2942,https://atcoder.jp/contests/arc075/tasks/arc075_c
Data-Structure,Binary-Indexed-Tree,abc127_f,F. Absolute Minima,2003,2000-2399,3003,https://atcoder.jp/contests/abc127/tasks/abc127_f
Data-Structure,Binary-Indexed-Tree,arc101_b,D. Median of Medians,2073,2000-2399,3045,https://atcoder.jp/contests/abc107/tasks/arc101_b
Data-Structure,Binary-Indexed-Tree,arc088_c,E. Papple Sort,2231,2000-2399,1466,https://atcoder.jp/contests/arc088/tasks/arc088_c
Data-Structure,Binary-Indexed-Tree,arc047_c,C. N!÷K番目の単語,2262,2000-2399,457,https://atcoder.jp/contests/arc047/tasks/arc047_c
Data-Structure,Binary-Indexed-Tree,arc068_c,E. Snuke Line,2307,2000-2399,1970,https://atcoder.jp/contests/arc068/tasks/arc068_c
Data-Structure,Binary-Indexed-Tree,abc136_f,F. Enclosed Points,2334,2000-2399,1528,https://atcoder.jp/contests/abc136/tasks/abc136_f
Data-Structure,Binary-Indexed-Tree,arc043_c,C. 転倒距離,2409,2400-2799,355,https://atcoder.jp/contests/arc043/tasks/arc043_c
Data-Structure,Binary-Indexed-Tree,abc266_h,Ex. Snuke Panic (2D),2865,2800-3199,367,https://atcoder.jp/contests/abc266/tasks/abc266_h
Data-Structure,Binary-Indexed-Tree,practice2_b,B. Fenwick Tree,,unknown,4575,https://atcoder.jp/contests/practice2/tasks/practice2_b
