tag,difficulty,problem_id,title,url
Binary-Indexed-Tree,360,abc262_c,C. Min Max Pair,https://atcoder.jp/contests/abc262/tasks/abc262_c
Binary-Indexed-Tree,1053,abc185_f,F. Range Xor Query,https://atcoder.jp/contests/abc185/tasks/abc185_f
Binary-Indexed-Tree,1073,abc253_e,E. Distance Sequence,https://atcoder.jp/contests/abc253/tasks/abc253_e
Binary-Indexed-Tree,1177,abc241_d,D. Sequence Query,https://atcoder.jp/contests/abc241/tasks/abc241_d
Binary-Indexed-Tree,1321,abc190_f,F. Shift and Inversions,https://atcoder.jp/contests/abc190/tasks/abc190_f
Binary-Indexed-Tree,1443,abc157_e,E. Simple String Queries,https://atcoder.jp/contests/abc157/tasks/abc157_e
Binary-Indexed-Tree,1495,abc174_f,F. Range Set Query,https://atcoder.jp/contests/abc174/tasks/abc174_f
Binary-Indexed-Tree,1580,abc231_f,F. Jealous Two,https://atcoder.jp/contests/abc231/tasks/abc231_f
Binary-Indexed-Tree,1619,abc309_f,F. Box in Box,https://atcoder.jp/contests/abc309/tasks/abc309_f
Binary-Indexed-Tree,1641,abc223_f,F. Parenthesis Checking,https://atcoder.jp/contests/abc223/tasks/abc223_f
Binary-Indexed-Tree,1756,abc253_f,F. Operations on a Matrix,https://atcoder.jp/contests/abc253/tasks/abc253_f
Binary-Indexed-Tree,1804,abc038_d,D. プレゼント,https://atcoder.jp/contests/abc038/tasks/abc038_d
Binary-Indexed-Tree,1833,abc186_f,F. Rook on Grid,https://atcoder.jp/contests/abc186/tasks/abc186_f
Lazy-Segment-Tree,-267,abc323_b,B. Round-Robin Tournament,https://atcoder.jp/contests/abc323/tasks/abc323_b
Lazy-Segment-Tree,1223,abc341_e,E. Alternating String,https://atcoder.jp/contests/abc341/tasks/abc341_e
Lazy-Segment-Tree,1624,abc327_f,F. Apples,https://atcoder.jp/contests/abc327/tasks/abc327_f
Lazy-Segment-Tree,1713,abc179_f,F. Simplified Reversi,https://atcoder.jp/contests/abc179/tasks/abc179_f
Lazy-Segment-Tree,1786,abc332_f,F. Random Update Query,https://atcoder.jp/contests/abc332/tasks/abc332_f
Lazy-Segment-Tree,1793,abc357_f,F. Two Sequence Queries,https://atcoder.jp/contests/abc357/tasks/abc357_f
Lazy-Segment-Tree,1806,abc322_f,F. Vacation Query,https://atcoder.jp/contests/abc322/tasks/abc322_f
Lazy-Segment-Tree,1985,abc441_g,G. Takoyaki and Flip,https://atcoder.jp/contests/abc441/tasks/abc441_g
Segment-Tree,832,abc349_d,D. Divide Interval,https://atcoder.jp/contests/abc349/tasks/abc349_d
Segment-Tree,1039,abc039_d,D. 画像処理高橋君,https://atcoder.jp/contests/abc039/tasks/abc039_d
Segment-Tree,1053,abc185_f,F. Range Xor Query,https://atcoder.jp/contests/abc185/tasks/abc185_f
Segment-Tree,1084,abc239_e,E. Subtree K-th Max,https://atcoder.jp/contests/abc239/tasks/abc239_e
Segment-Tree,1088,abc194_e,E. Mex Min,https://atcoder.jp/contests/abc194/tasks/abc194_e
Segment-Tree,1109,abc339_e,E. Smooth Subsequence,https://atcoder.jp/contests/abc339/tasks/abc339_e
Segment-Tree,1157,abc340_e,E. Mancala 2,https://atcoder.jp/contests/abc340/tasks/abc340_e
Segment-Tree,1177,abc241_d,D. Sequence Query,https://atcoder.jp/contests/abc241/tasks/abc241_d
Segment-Tree,1197,abc125_c,C. GCD on Blackboard,https://atcoder.jp/contests/abc125/tasks/abc125_c
Segment-Tree,1223,abc341_e,E. Alternating String,https://atcoder.jp/contests/abc341/tasks/abc341_e
Segment-Tree,1253,abc351_f,F. Double Sum,https://atcoder.jp/contests/abc351/tasks/abc351_f
Segment-Tree,1256,abc247_e,E. Max Min,https://atcoder.jp/contests/abc247/tasks/abc247_e
Segment-Tree,1332,abc437_f,F. Manhattan Christmas Tree 2,https://atcoder.jp/contests/abc437/tasks/abc437_f
Segment-Tree,1370,abc343_f,F. Second Largest Query,https://atcoder.jp/contests/abc343/tasks/abc343_f
Segment-Tree,1434,abc272_e,E. Add and Mex,https://atcoder.jp/contests/abc272/tasks/abc272_e
Segment-Tree,1443,abc157_e,E. Simple String Queries,https://atcoder.jp/contests/abc157/tasks/abc157_e
Segment-Tree,1580,abc231_f,F. Jealous Two,https://atcoder.jp/contests/abc231/tasks/abc231_f
Segment-Tree,1641,abc223_f,F. Parenthesis Checking,https://atcoder.jp/contests/abc223/tasks/abc223_f
Segment-Tree,1764,abc254_f,F. Rectangle GCD,https://atcoder.jp/contests/abc254/tasks/abc254_f
